uc_id,share_intervals_sync_positive_burden_q95,mean_tb_night_anom_during_sync_positive_q95,total_weighted_burden_q95,n_sync_positive_intervals_q95,mean_t2m_c,mean_ring_veg,country,wb_income,un_sdg_reg,population_2025,developing_economy,baseline_heat_tertile,baseline_veg_tertile
247,0.038752362948960305,2.8554943229601446,33821598.76794255,41,11.33432263472539,1119.0207939508507,Switzerland,High income,Europe,288887.6495,0,cooler,middle
2471,0.026465028355387523,2.056956146501344,113880929.29791605,28,16.81118608826432,1067.8289224952741,United States,High income,Northern America,1977278.929,0,middle,middle
2473,0.02930056710775047,1.148502449308837,3044707.903748609,31,18.44978432325099,1062.9584120982986,Guatemala,Upper Middle,Latin America and the Caribbean,85516.91296,1,middle,middle
2479,0.021739130434782608,2.889965485526894,6988583.204126053,23,8.617841387810078,949.1644612476371,Canada,High income,Northern America,105140.1635,0,cooler,lower_veg
2480,0.023629489603024575,1.3760743999645348,3158875.3077932633,25,15.145888983324506,946.2211720226843,Chile,High income,Latin America and the Caribbean,91822.80574,0,middle,lower_veg
249,0.038752362948960305,2.479251397006345,25681624.346923187,41,9.047765360794298,932.195652173913,Denmark,High income,Europe,252649.2805,0,cooler,lower_veg
2491,0.038752362948960305,2.6014181775021497,7832621.284047886,41,11.505412742026902,1093.82797731569,France,High income,Europe,73436.69125,0,cooler,middle
2494,0.035916824196597356,2.768678187353437,19648533.815918677,38,10.757574597531532,1136.8137996219282,Netherlands,High income,Europe,186755.789,0,cooler,middle
2495,0.03497164461247637,3.4566997896322427,15158900.967989748,37,10.370748189837045,1105.0623818525519,Germany,High income,Europe,118523.462,0,cooler,middle
2500,0.035916824196597356,2.6679849884131808,9270317.319263568,38,9.973163586134033,1096.5671077504726,Poland,High income,Europe,91438.19024,0,cooler,middle
2504,0.02835538752362949,2.496658376407515,7039581.570034302,30,12.023576406325422,955.1181474480152,Romania,High income,Europe,93986.71489,0,cooler,lower_veg
