uc_id,mean_tb_night_anom_DHD,mean_tb_night_anom_extreme_DHD,mean_tb_night_anom_moist_low_demand,mean_dT_night_anom_DHD,mean_dT_night_anom_extreme_DHD,mean_dT_night_anom_moist_low_demand,mean_tb_day_anom_DHD,mean_tb_day_anom_extreme_DHD,mean_tb_day_anom_moist_low_demand,n_rows_DHD,n_rows_extreme_DHD,n_rows_moist_low_demand,tb_penalty_DHD_minus_MLD,tb_penalty_extremeDHD_minus_MLD,mean_t2m_c,mean_ring_veg,country,wb_income,un_sdg_reg,population_2025,developing_economy,baseline_heat_tertile,baseline_veg_tertile
7484,0.20040224905040122,0.5097136769290058,-0.3458141392483735,-0.02637503799501411,0.018871037048669215,-0.010787003597974234,0.589009766297865,0.7285036581936908,-0.7246126847613866,55,44,184,0.5462163882987747,0.8555278161773794,25.168280224283365,1156.4574669187145,Bangladesh,Lower Middle,Central and Southern Asia,237115.2507,1,hotter,higher_veg
7487,1.4090171298878054,1.9134458095042073,-1.462840671423166,-0.03541999417337443,-0.04120947335012316,-0.0013330639979132178,1.8779926000666805,2.5159832396274187,-1.3412624748673156,42,35,124,2.8718578013109717,3.3762864809273734,10.285228505462793,1254.678638941399,United States,High income,Northern America,279554.1979,0,cooler,higher_veg
7488,1.721213946744146,1.014328260881351,-1.2061297217632456,-0.036117140951529784,-0.008826725816424989,0.06552293957382524,0.8906785044827759,1.363484796199873,-1.2782926429127122,57,52,162,2.9273436685073917,2.2204579826445965,20.288752417873894,1115.3109640831758,Brazil,Upper Middle,Latin America and the Caribbean,54981.93005,1,middle,middle
7491,0.522189997049908,0.25276848033102495,-0.33453284312902815,-0.17197160260955038,-0.06502209266944604,0.10990624479674287,1.127517169528457,1.7767158209781657,-1.2560722955651062,64,33,194,0.8567228401789362,0.587301323460053,25.312094937913624,1078.8478260869565,Pakistan,Lower Middle,Central and Southern Asia,194881.6674,1,hotter,middle
7493,-0.04820071879194419,0.5975902840437961,-0.28302716499513997,-0.03726912962654794,0.037108754015460994,0.007803157773122572,0.07405596187209783,0.7264378729939425,-0.7510465564849582,59,42,177,0.2348264462031958,0.880617449038936,25.182431134489754,932.3497164461247,Bangladesh,Lower Middle,Central and Southern Asia,365775.1079,1,hotter,lower_veg
7495,0.060761416203833636,0.21583544498588234,0.18997194467338752,-0.0292371412209182,0.002514915881263867,-0.01156720990413078,0.9920124633633963,1.6659432122786806,-0.9292221268248955,62,56,180,-0.1292105284695539,0.02586350031249482,23.64369748658916,1095.617202268431,Indonesia,Upper Middle,Eastern and South-Eastern Asia,188705.6167,1,hotter,middle
7496,1.0905767757131495,1.5487140800662045,-1.5885411309416235,-0.06211839277525397,0.009964899585761586,0.030978232174181802,1.032615734817166,2.7578414267815297,-1.9442349493860318,44,31,128,2.6791179066547732,3.137255211007828,9.802016782851998,978.0359168241966,United States,High income,Northern America,88854.16898,0,cooler,lower_veg
7497,0.4285848018343119,1.3401626882914028,-0.8266003584629248,-0.07443883921475015,-0.17050713445868176,0.13100583266402896,1.176112248691146,2.110237678002626,-1.298516719318526,73,56,193,1.2551851602972368,2.1667630467543275,21.9769226277333,1107.6758034026466,Brazil,Upper Middle,Latin America and the Caribbean,84730.10975,1,hotter,middle
75,0.6045071777817643,2.0129033962872076,-0.5961459648580664,-0.014728376044160562,-0.09883670423602857,0.024784770946390457,1.3932291576264766,3.0421164722628244,-0.9896543261186356,41,29,133,1.2006531426398306,2.609049361145274,8.206403476539634,954.3724007561436,Sweden,High income,Europe,599675.2527,0,cooler,lower_veg
7505,0.9010018097774439,2.1799463291742627,-1.4258676270007558,0.04771415536714197,-0.040026254594337465,0.012517487050991528,1.3557915542472294,2.437325263732542,-1.657815862979133,43,28,122,2.3268694367781997,3.6058139561750187,10.053809319036347,1128.8317580340265,United States,High income,Northern America,191148.096,0,cooler,middle
