high_uc_id,low_uc_id,un_sdg_reg,wb_income,population_quintile,night_temperature_tercile,soil_moisture_tercile,match_distance
6199,5663,Eastern and South-Eastern Asia,High income,0,0,2,1.2055870850670327
905,500,Eastern and South-Eastern Asia,High income,0,0,2,0.5343713922122363
1143,3786,Eastern and South-Eastern Asia,High income,0,1,1,1.3138168837211859
2982,502,Eastern and South-Eastern Asia,High income,0,1,2,0.7661530223285448
3435,1653,Eastern and South-Eastern Asia,High income,0,1,2,0.631717036459295
6216,6250,Eastern and South-Eastern Asia,High income,0,1,2,0.36046361137516836
1251,350,Eastern and South-Eastern Asia,High income,0,2,2,5.015335601447139
1557,5524,Eastern and South-Eastern Asia,High income,1,0,2,1.281062956364987
2162,1455,Eastern and South-Eastern Asia,High income,1,0,2,0.850534214667494
2164,4770,Eastern and South-Eastern Asia,High income,1,0,2,0.32666961475696105
2859,2004,Eastern and South-Eastern Asia,High income,1,0,2,0.7080341914215172
5269,1355,Eastern and South-Eastern Asia,High income,1,0,2,0.92026479691196
5851,3539,Eastern and South-Eastern Asia,High income,1,0,2,1.269507744944897
5891,3485,Eastern and South-Eastern Asia,High income,1,0,2,1.1084429125179105
5948,5155,Eastern and South-Eastern Asia,High income,1,0,2,0.7672996610438366
6022,5641,Eastern and South-Eastern Asia,High income,1,0,2,0.8794928013548108
1457,3159,Eastern and South-Eastern Asia,High income,1,1,2,0.521019410596927
3101,3158,Eastern and South-Eastern Asia,High income,1,1,2,0.9113721161729734
3591,5548,Eastern and South-Eastern Asia,High income,1,1,2,1.0299857993541104
3964,6165,Eastern and South-Eastern Asia,High income,1,1,2,1.0305447245837418
3641,642,Eastern and South-Eastern Asia,High income,2,0,1,0.8572778904245499
1025,3832,Eastern and South-Eastern Asia,High income,2,0,2,1.3382779541058096
1555,2668,Eastern and South-Eastern Asia,High income,2,0,2,1.3919330294256758
1833,6112,Eastern and South-Eastern Asia,High income,2,0,2,0.8711659720386008
2320,4437,Eastern and South-Eastern Asia,High income,2,0,2,0.7183749607872636
2858,6094,Eastern and South-Eastern Asia,High income,2,0,2,0.6005318635927935
3271,2243,Eastern and South-Eastern Asia,High income,2,0,2,0.7754212868725071
5296,5064,Eastern and South-Eastern Asia,High income,2,0,2,1.2597347335270457
5322,2396,Eastern and South-Eastern Asia,High income,2,0,2,2.0419521106528133
5618,2002,Eastern and South-Eastern Asia,High income,2,0,2,0.8193515863484806
6004,4549,Eastern and South-Eastern Asia,High income,2,0,2,0.4482706308698686
777,3693,Eastern and South-Eastern Asia,High income,2,0,2,0.6437768340876587
1356,6233,Eastern and South-Eastern Asia,High income,2,1,2,1.582887763788242
1357,644,Eastern and South-Eastern Asia,High income,2,1,2,0.7541791691501402
5986,4006,Eastern and South-Eastern Asia,High income,2,1,2,0.6105942717367374
6130,4131,Eastern and South-Eastern Asia,High income,2,1,2,0.4057886880651481
6182,1920,Eastern and South-Eastern Asia,High income,2,1,2,0.9676956818524539
1918,779,Eastern and South-Eastern Asia,High income,3,0,2,0.8459311836745702
4361,4623,Eastern and South-Eastern Asia,High income,3,0,2,0.5525510936138969
5241,4209,Eastern and South-Eastern Asia,High income,3,0,2,0.43272020844264336
