model,outcome,term,estimate,std_error_cluster_city,ci95_low,ci95_high,t_stat,p_value,n_obs,n_cities,n_times,p_value_holm_within_model
post_dhd_memory_night_anomaly_contrast,night_anomaly_contrast,z_t2m_true_night_pct_rank,-0.024600619036237892,0.0015131902992910253,-0.0275664720228483,-0.021634766049627482,-16.257452250231854,1.9779333198248414e-59,2307336,2769,1057,1.780139987842357e-58
post_dhd_memory_night_anomaly_contrast,night_anomaly_contrast,z_vpd_pct,0.037901317855237475,0.001767506082546541,0.03443700593344626,0.04136562977702869,21.44338751051482,5.2639135770572854e-102,2307336,2769,1057,5.790304934763014e-101
post_dhd_memory_night_anomaly_contrast,night_anomaly_contrast,z_rzsm_pct,-0.037425590883549034,0.0016264278668923755,-0.04061338950265809,-0.03423779226443998,-23.010913453578677,3.624611863648264e-117,2307336,2769,1057,4.3495342363779167e-116
post_dhd_memory_night_anomaly_contrast,night_anomaly_contrast,post_dhd_lag1,-0.037881652678553965,0.003896339695115459,-0.045518478480980264,-0.030244826876127666,-9.722369106072367,2.4208235390244224e-22,2307336,2769,1057,1.936658831219538e-21
post_dhd_memory_night_anomaly_contrast,night_anomaly_contrast,post_dhd_lag2,-0.02095743881431595,0.0038705690544367515,-0.028543754161011983,-0.013371123467619917,-5.4145626959666,6.143867354109522e-08,2307336,2769,1057,3.686320412465713e-07
post_dhd_memory_night_anomaly_contrast,night_anomaly_contrast,post_dhd_lag3,-0.020999085902015144,0.004047379503046704,-0.028931949727986683,-0.013066222076043603,-5.1883165110185185,2.1220370960503848e-07,2307336,2769,1057,1.0610185480251925e-06
post_dhd_memory_night_anomaly_contrast,night_anomaly_contrast,post_dhd_lag4,-0.02352509445768582,0.004160103221943352,-0.03167889677269479,-0.015371292142676851,-5.6549304674936165,1.5590937655663005e-08,2307336,2769,1057,1.0913656358964103e-07
post_dhd_memory_night_anomaly_contrast,night_anomaly_contrast,post_dhd_lag1_x_storage,0.0002485128027491248,0.00342400231417009,-0.006462531733024251,0.006959557338522502,0.07257962464589028,0.9421406411268745,2307336,2769,1057,1.0
post_dhd_memory_night_anomaly_contrast,night_anomaly_contrast,post_dhd_lag2_x_storage,-0.0003491960539179742,0.0034113831511467805,-0.007035507030165663,0.006337114922329716,-0.10236201518454105,0.9184693327469248,2307336,2769,1057,1.0
post_dhd_memory_night_anomaly_contrast,night_anomaly_contrast,post_dhd_lag3_x_storage,-0.00191502168679493,0.0035514853085416116,-0.008875932891536488,0.005045889517946629,-0.5392171219712346,0.5897370473894746,2307336,2769,1057,1.0
post_dhd_memory_night_anomaly_contrast,night_anomaly_contrast,post_dhd_lag4_x_storage,-0.003524388880035448,0.0038834926077492633,-0.011136034391224004,0.004087256631153108,-0.9075307296846024,0.36412620674778334,2307336,2769,1057,1.0
post_dhd_memory_differential_decay_1e4_h,differential_decay_1e4_h,z_t2m_true_night_pct_rank,0.4245374216799446,0.029707145784900985,0.3663114159415387,0.48276342741835054,14.2907509443644,2.4990011239508726e-46,2307336,2769,1057,2.2491010115557854e-45
post_dhd_memory_differential_decay_1e4_h,differential_decay_1e4_h,z_vpd_pct,-0.14715356918774525,0.0077669912962617035,-0.1623768721284182,-0.1319302662470723,-18.946019581426736,4.762755974817279e-80,2307336,2769,1057,4.762755974817279e-79
post_dhd_memory_differential_decay_1e4_h,differential_decay_1e4_h,z_rzsm_pct,0.244589130388698,0.008480365256347423,0.22796761448625705,0.26121064629113894,28.84181553449326,6.417920735477347e-183,2307336,2769,1057,7.059712809025082e-182
post_dhd_memory_differential_decay_1e4_h,differential_decay_1e4_h,post_dhd_lag1,0.09311956350465474,0.018694763642600802,0.05647782676515717,0.1297613002441523,4.981050591752761,6.324000264459326e-07,2307336,2769,1057,3.7944001586755956e-06
post_dhd_memory_differential_decay_1e4_h,differential_decay_1e4_h,post_dhd_lag2,0.08281084169204701,0.01924783147943411,0.045085091992356156,0.12053659139173786,4.302346567223877,1.6899869600525762e-05,2307336,2769,1057,8.449934800262881e-05
post_dhd_memory_differential_decay_1e4_h,differential_decay_1e4_h,post_dhd_lag3,0.13133459219738589,0.01944889615928016,0.09321475572519677,0.169454428669575,6.7528044327965,1.4501435501517107e-11,2307336,2769,1057,1.1601148401213686e-10
post_dhd_memory_differential_decay_1e4_h,differential_decay_1e4_h,post_dhd_lag4,0.13098083249864342,0.020503411095042865,0.09079414675235942,0.17116751824492743,6.388245930956865,1.6779932693118362e-10,2307336,2769,1057,1.1745952885182854e-09
post_dhd_memory_differential_decay_1e4_h,differential_decay_1e4_h,post_dhd_lag1_x_storage,0.00019689191479107238,0.017881894986163317,-0.03485162225808903,0.035245406087671176,0.011010685105992611,0.9912149218605228,2307336,2769,1057,0.9912149218605228
post_dhd_memory_differential_decay_1e4_h,differential_decay_1e4_h,post_dhd_lag2_x_storage,0.04418767115253917,0.017841404718634712,0.009218517904015129,0.0791568244010632,2.476692382096277,0.013260613823245473,2307336,2769,1057,0.026521227646490945
