rho_raw,rho_harmonized,n_bounded_configurations,fraction_downstream_gain,fraction_downstream_damage,fraction_boundary,minimum_standardized_gain,p05_standardized_gain,median_standardized_gain,p95_standardized_gain,maximum_standardized_gain,bounded_regime
0.78,0.4,1260,0.2246031746031746,0.7753968253968254,0.0,-0.7920035671819263,-0.5792837195335567,-0.19615148122648202,0.1897727083064016,0.38109756097560976,parameter_dependent
0.78,0.41000000000000003,1260,0.2357142857142857,0.7642857142857142,0.0,-0.773975029726516,-0.5643778265563266,-0.1858505079825835,0.19532933292291707,0.38504878048780466,parameter_dependent
0.78,0.42,1260,0.24682539682539684,0.7531746031746032,0.0,-0.7559464922711058,-0.5493240321146854,-0.1751700563811484,0.2011716822317464,0.389,parameter_dependent
0.78,0.43,1260,0.25317460317460316,0.7468253968253968,0.0,-0.7379179548156957,-0.5378248727736364,-0.16468147825435048,0.20739861114133168,0.3929512195121949,parameter_dependent
0.78,0.44,1260,0.2642857142857143,0.7357142857142858,0.0,-0.7198894173602854,-0.5222888366720051,-0.15635548160996865,0.2132416345233605,0.39690243902439004,parameter_dependent
0.78,0.45,1260,0.2761904761904762,0.7238095238095238,0.0,-0.7018608799048752,-0.5103717669305471,-0.1472765295984103,0.2186898122034183,0.40085365853658517,parameter_dependent
0.78,0.46,1260,0.2841269841269841,0.7158730158730159,0.0,-0.6838323424494649,-0.49816469649952144,-0.13779817954552753,0.2231120637159066,0.4048048780487803,parameter_dependent
0.78,0.47000000000000003,1260,0.30317460317460315,0.6968253968253968,0.0,-0.6658038049940546,-0.4842173167526682,-0.12826771470884885,0.22814803749113918,0.4087560975609754,parameter_dependent
0.78,0.48,1260,0.3134920634920635,0.6865079365079365,0.0,-0.6477752675386446,-0.4693555524089348,-0.11810775295663611,0.2330676324476779,0.41270731707317054,parameter_dependent
0.78,0.49,1260,0.32301587301587303,0.676984126984127,0.0,-0.6297467300832343,-0.4547901372992911,-0.10914213624894864,0.23794755296304596,0.41665853658536567,parameter_dependent
0.78,0.5,1260,0.3357142857142857,0.6642857142857143,0.0,-0.6117181926278241,-0.44101576872536136,-0.09863069516545331,0.242827473478414,0.4206097560975608,parameter_dependent
0.78,0.51,1260,0.34523809523809523,0.6547619047619048,0.0,-0.5936896551724137,-0.42854327425403044,-0.08925727860769017,0.24770739399378205,0.4245609756097559,parameter_dependent
0.78,0.52,1260,0.3626984126984127,0.6373015873015873,0.0,-0.5756611177170036,-0.4133063423222998,-0.07902475780409046,0.2525421749061407,0.42851219512195104,parameter_dependent
0.78,0.53,1260,0.3753968253968254,0.6246031746031746,0.0,-0.5576325802615933,-0.39835449247829574,-0.0681700753498386,0.25754882830788883,0.43246341463414617,parameter_dependent
0.78,0.54,1260,0.396031746031746,0.6039682539682539,0.0,-0.5396040428061831,-0.3846799312137361,-0.05888002088106481,0.26348931395860353,0.4364146341463413,parameter_dependent
0.78,0.55,1260,0.4095238095238095,0.5904761904761905,0.0,-0.5215755053507729,-0.37157478397581156,-0.0496304380774405,0.26982153743041887,0.4403658536585364,parameter_dependent
0.78,0.56,1260,0.42936507936507934,0.5706349206349206,0.0,-0.5035469678953627,-0.3586089356110381,-0.03939167392991816,0.2754563373378165,0.44431707317073155,parameter_dependent
0.78,0.5700000000000001,1260,0.44285714285714284,0.5571428571428572,0.0,-0.48551843043995235,-0.34538097520230415,-0.030615009976546925,0.28152937621226365,0.4482682926829267,parameter_dependent
0.78,0.58,1260,0.4587301587301587,0.5412698412698412,0.0,-0.467489892984542,-0.33307589289480516,-0.020627809833976607,0.28736149802890903,0.4522195121951218,parameter_dependent
0.78,0.59,1260,0.4738095238095238,0.5261904761904762,0.0,-0.44946135552913213,-0.32215236085316334,-0.010890932982917378,0.29452063074901436,0.4561707317073169,parameter_dependent
0.78,0.6,1260,0.4936507936507937,0.5063492063492063,0.0,-0.4314328180737218,-0.30602485152366954,-0.0015965834428385284,0.30170664401781955,0.46012195121951205,parameter_dependent
0.78,0.61,1260,0.5182539682539683,0.48174603174603176,0.0,-0.4217804878048781,-0.29059611377310046,0.007661117717003729,0.30882507967325823,0.4640731707317072,parameter_dependent
0.78,0.62,1260,0.5412698412698412,0.4587301587301587,0.0,-0.41343902439024394,-0.2783724513639107,0.016461350351799853,0.3159417453545385,0.4680243902439023,parameter_dependent
0.78,0.63,1260,0.5603174603174603,0.4396825396825397,0.0,-0.4050975609756098,-0.2660438578067157,0.02548198987189093,0.32262991415468556,0.4719756097560974,parameter_dependent
